Village_Code,Town_Code,縣市,鄉鎮區,村里,KMT,DPP,PFP,KMT_rate,DPP_rate,PFP_rate,Valid_Votes,Invalid_Votes,Votes,Valid_People,Votes_Rate
6600600-036,6600600,台中市,西屯區,福聯里,511,773,267,0.329464861,0.498388137,0.172147002,1551,22,1573,2723,0.577671686
6600600-037,6600600,台中市,西屯區,福瑞里,588,716,293,0.368190357,0.448340639,0.183469004,1597,22,1619,2685,0.602979516
6600600-038,6600600,台中市,西屯區,福林里,1562,2009,673,0.36804901,0.473374175,0.158576814,4244,64,4308,6456,0.667286245
6600600-039,6600600,台中市,西屯區,福雅里,1163,1660,521,0.347787081,0.496411483,0.155801435,3344,52,3396,5063,0.670748568
6600400-001,6600400,台中市,西區,民生里,395,633,173,0.32889259,0.527060783,0.144046628,1201,17,1218,1802,0.675915649
6600400-002,6600400,台中市,西區,利民里,362,443,153,0.377870564,0.462421712,0.159707724,958,7,965,1384,0.697254335
6600400-003,6600400,台中市,西區,三民里,394,536,129,0.372049103,0.506137866,0.121813031,1059,13,1072,2121,0.505421971
6600400-004,6600400,台中市,西區,東昇里,505,814,212,0.329849771,0.531678641,0.138471587,1531,10,1541,2177,0.707854846
6600400-005,6600400,台中市,西區,廣民里,342,497,131,0.35257732,0.512371134,0.135051546,970,17,987,1498,0.658878505
6600400-006,6600400,台中市,西區,平和里,394,617,199,0.325619835,0.509917355,0.16446281,1210,16,1226,1877,0.653169952
6600400-007,6600400,台中市,西區,公民里,902,1608,448,0.304935767,0.543610548,0.151453685,2958,29,2987,4432,0.673962094
6600400-008,6600400,台中市,西區,藍興里,787,1432,356,0.305631068,0.556116505,0.138252427,2575,41,2616,3764,0.695005313
6600400-009,6600400,台中市,西區,公?里,1006,2014,491,0.286528055,0.573625748,0.139846198,3511,44,3555,5252,0.676884996
6600400-010,6600400,台中市,西區,和龍里,365,879,204,0.252071823,0.607044199,0.140883978,1448,20,1468,2259,0.649845064
